,user_id,history_item_title,item_title,history_item_id,item_id,history_item_sid,item_sid
0,A4717,"['Lifegard Aquatics 1/2-Inch Bulkhead Fitting Kit', 'Gizmo Dorks Blue Painters Tape for 3D Printers 6.25"" x 100\'', 'BIQU Upgrade Wear Resistant MK10 Nozzles M7 0.4mm Threaded Stainless Steel Nozzle Extrusion Head (Pack of 5pcs)', 'Platform Sticker for QIDI TECH I 3D Printer: 5 pcs kit', '[STAR] Alchement - PLA Series, 3D Filament, 1.75mm, 1kg (Transparent)', 'XiKe 30012X (300 Qty) 1/2"" Steel Balls, Slingshot Ammo Steel shot - G100', 'SCIGRIP 16 10315 Acrylic Cement, Low-VOC, Medium bodied, 5 Ounce Tube, Clear']",Inland 1.75mm Black PLA 3D Printer Filament - 1kg Spool (2.2 lbs),"[1472, 2125, 2187, 3016, 3037, 3074, 660]",2354,"['<a_109><b_133><c_114>', '<a_221><b_156><c_123>', '<a_110><b_110><c_34>', '<a_236><b_211><c_111>', '<a_95><b_121><c_93>', '<a_118><b_177><c_162>', '<a_140><b_3><c_191>']",<a_200><b_195><c_143>
1,A5219,"['Z&T Solderless Flexible Breadboard Jumper Wires M/M 100pcs', 'Aketek 3x Solderless BreadBoard, 400 tie-points, 4 power rails, 3.3 x 2.1 x 0.3in (84 x 54 x 9mm)', 'Ten 1/2"" Inch Chrome Steel Bearing Balls G25', 'Ten 1"" Inch Chrome Steel Bearing Balls G25', '100 3/8"" Inch Chrome Steel Bearing Balls G25', 'Texas Instruments NE555P Single Precision Timer (Pack of 10)']","Electronics-Salon 0.47uF to 1000uF Electrolytic Capacitors Assortment Kit, 13 Values, Total 200 Pieces","[266, 2720, 891, 1057, 1978, 2617]",1245,"['<a_188><b_7><c_96>', '<a_188><b_123><c_206>', '<a_238><b_47><c_0>', '<a_238><b_47><c_133>', '<a_238><b_47><c_37>', '<a_212><b_32><c_186>']",<a_223><b_60><c_106>
2,A5220,"['MARS - Motors & Armatures 12905 370V Oval 5 Micro-Farads Motor Run Capacitor', 'Z&T Solderless Flexible Breadboard Jumper Wires M/M 100pcs', 'Strenco 1"" Self Adhesive Black Hook and Loop 5 yards Sticky Back Tape Fastener 15 feet - Light Weight', 'TOOGOO(R) 10 Pcs AC 125V 6A Amps ON/ON 2 Position DPDT Toggle Switch']",yueton 10 Pcs AC 125V 6A Amps ON/ON 6 Terminals 2 Position DPDT Toggle Switch,"[1621, 266, 411, 1419]",2329,"['<a_167><b_30><c_143>', '<a_188><b_7><c_96>', '<a_140><b_102><c_185>', '<a_31><b_224><c_59>']",<a_31><b_243><c_8>
3,A5451,"['AcuRite 00613 Humidity Monitor with Indoor Thermometer, Digital Hygrometer and Humidity Gauge Indicator', 'Etekcity Lasergrip 774 Non-contact Digital Laser Infrared Thermometer Temperature Gun -58~ 716 (-50 ~ 380), Yellow and Black', 'HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Orange', 'HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Blue', 'HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Glow in the Dark', 'HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Transparent Green', 'HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Copper', 'Yosoo GM328 Lcd Display Transistor Tester ESR Meter Cymometer Square Wave Generator']",Joe Knows Electronics 1/2W 86 Value 860 Piece Resistor Kit,"[155, 133, 1251, 44, 862, 2515, 2555, 2032]",2106,"['<a_142><b_169><c_0>', '<a_142><b_151><c_72>', '<a_126><b_70><c_20>', '<a_126><b_70><c_74>', '<a_126><b_70><c_1>', '<a_126><b_70><c_99>', '<a_126><b_70><c_129>', '<a_223><b_32><c_134>']",<a_223><b_9><c_0>
4,A5610,"['Vktech 10pcs 4x6cm Double Side Prototype PCB Universal Printed Circuit Board', 'CO RODE LED Diode 3mm 5mm LED Light Kit Clear with Color White Red Blue Green Yellow, Resistors Included', 'ABN Aluminum Rivet Assortment Set 500-Piece Rivets Kit &ndash; 1/8""x1/4"", 1/8""x5/16"", 1/8""x3/8"", 3/16""x5/16"", 3/16""x3/8"" Inch']","HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Black","[1392, 2149, 2649]",405,"['<a_188><b_84><c_53>', '<a_223><b_105><c_180>', '<a_19><b_112><c_71>']",<a_126><b_70><c_202>
5,A5610,"['Vktech 10pcs 4x6cm Double Side Prototype PCB Universal Printed Circuit Board', 'CO RODE LED Diode 3mm 5mm LED Light Kit Clear with Color White Red Blue Green Yellow, Resistors Included', 'ABN Aluminum Rivet Assortment Set 500-Piece Rivets Kit &ndash; 1/8""x1/4"", 1/8""x5/16"", 1/8""x3/8"", 3/16""x5/16"", 3/16""x3/8"" Inch', 'HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Black']","HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, White","[1392, 2149, 2649, 405]",1477,"['<a_188><b_84><c_53>', '<a_223><b_105><c_180>', '<a_19><b_112><c_71>', '<a_126><b_70><c_202>']",<a_200><b_153><c_16>
6,A5610,"['Vktech 10pcs 4x6cm Double Side Prototype PCB Universal Printed Circuit Board', 'CO RODE LED Diode 3mm 5mm LED Light Kit Clear with Color White Red Blue Green Yellow, Resistors Included', 'ABN Aluminum Rivet Assortment Set 500-Piece Rivets Kit &ndash; 1/8""x1/4"", 1/8""x5/16"", 1/8""x3/8"", 3/16""x5/16"", 3/16""x3/8"" Inch', 'HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Black', 'HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, White']","HATCHBOX PLA 3D Printer Filament, Dimensional Accuracy +/- 0.03 mm, 1 kg Spool, 1.75 mm, Gray","[1392, 2149, 2649, 405, 1477]",1638,"['<a_188><b_84><c_53>', '<a_223><b_105><c_180>', '<a_19><b_112><c_71>', '<a_126><b_70><c_202>', '<a_200><b_153><c_16>']",<a_126><b_70><c_244>
7,A189,"['PH 1-14 Test Paper Litmus Strips Tester, Universal Application for Saliva Urine Water Soil Testing, 80pcs', 'uxcell AC 600V 10A Red Mushroom Emergency Stop Push Button Switch 22mm NO NC', 'Housing Bracket for Big blue 10"" and 20"" filter housings', 'Shop-Vac 8018200 2.5-Inch Deluxe Pick-Up Accessory Kit Multifunction Conversion Set with Nozzles, Wands, Hoses & Tools']","Neiko 10194A Titanium Step Drill Bit, High Speed Steel | 1/4"" to 1-3/8"" | Total 10 Step Sizes","[704, 705, 706, 671]",151,"['<a_199><b_120><c_200>', '<a_31><b_154><c_27>', '<a_244><b_31><c_148>', '<a_141><b_159><c_196>']",<a_26><b_112><c_213>
8,A737,"['Neiko 10194A Titanium Step Drill Bit, High Speed Steel | 1/4"" to 1-3/8"" | Total 10 Step Sizes', '3M 08190 Performance Manual Applicator for 50 ml Cartridges', 'Frost King Available R534H Sponge Rubber Foam Tape 5/16-Inch, Black, 3/4"" W, 5/16"" T, 10 ft L', 'Circuit-Test 22AWG Solid Hook Up Wire Kit - 6 x 25 Foot Rolls - Assorted Colors (10-HS22K6-25)']",Seek Thermal Compact Imager for iOS-Apple,"[151, 1813, 1125, 1814]",1158,"['<a_26><b_112><c_213>', '<a_209><b_137><c_10>', '<a_97><b_232><c_2>', '<a_86><b_29><c_226>']",<a_218><b_58><c_228>
9,A2251,"['Devcon 12045 Premium Silicone Adhesive - 1.76 oz.', 'Devcon 12045 Premium Silicone Adhesive - 1.76 oz.', 'Accessbuy 180-Piece Rubber Grommet Shop Assortment', 'Learn To Brew LLC Food Grade Vinyl Tubing - 10 feet 5/16 ID - 7/16 OD']","Gorilla 2 Part Epoxy, 5 Minute Set, .85 ounce Syringe, Clear","[2814, 2814, 1016, 1106]",51,"['<a_224><b_163><c_217>', '<a_224><b_163><c_217>', '<a_34><b_133><c_26>', '<a_120><b_29><c_22>']",<a_140><b_223><c_151>
